race_id,athlete_id,sex,age,height,weight,reaction_time,lane,temperature,humidity,wind_speed,wind_direction,altitude,track_condition,season,sprint_time
R001,A0215,female,23.6,155.2,61.5,0.206,6,31.4,81.9,-0.32,ne,200,dry,summer,11.094
R001,A0016,male,22.0,192.3,77.9,0.178,2,16.7,46.8,-0.71,nw,800,wet,spring,10.238
R001,A0002,female,19.4,170.3,58.8,0.172,6,14.5,87.7,-1.87,north,50,wet,spring,11.484
R001,A0061,male,22.2,185.3,72.2,0.167,7,24.5,73.2,-0.55,ne,200,synthetic,summer,10.276
R001,A0204,female,24.4,166.3,54.0,0.159,2,19.4,49.5,-1.34,ne,800,dry,spring,11.269
R001,A0176,male,23.6,183.2,83.1,0.182,6,29.0,89.8,-0.26,nw,0,wet,summer,10.364
R001,A0176,male,23.6,183.2,83.1,0.15,4,20.8,35.3,0.94,east,0,dry,autumn,10.033
R001,A0187,female,21.9,165.0,59.3,0.182,8,18.4,39.4,-0.03,ne,0,dry,autumn,11.308
R001,A0183,female,22.9,168.1,52.8,0.174,3,22.2,69.4,1.82,ne,100,dry,autumn,11.083
R001,A0171,female,20.9,167.1,64.7,0.177,3,27.7,66.3,-0.96,se,1200,synthetic,summer,11.151
R001,A0051,female,24.9,172.6,54.0,0.209,7,30.4,60.4,-0.02,nw,200,dry,summer,11.461
R001,A0182,male,27.8,176.6,74.6,0.185,1,32.9,73.3,0.0,north,0,dry,summer,10.17
R001,A0143,male,30.5,177.8,77.3,0.18,3,20.3,59.9,-0.48,nw,0,dry,spring,9.994
R001,A0207,male,18.9,181.1,85.3,0.157,3,16.1,57.1,2.5,ne,200,synthetic,autumn,9.805
R001,A0299,female,19.0,169.5,63.2,0.187,8,19.8,39.7,-0.41,sw,200,dry,spring,11.469
R001,A0045,male,24.6,177.4,74.4,0.176,8,16.0,79.0,1.34,sw,800,synthetic,autumn,10.134
R001,A0207,male,18.9,181.1,85.3,0.164,6,18.5,38.7,-0.44,se,50,wet,autumn,10.09
R001,A0011,male,25.5,174.4,75.9,0.165,3,15.4,61.1,-0.27,south,50,dry,autumn,10.017
R001,A0293,female,21.7,162.8,47.9,0.161,4,18.8,50.3,0.43,sw,0,wet,autumn,11.413
R001,A0125,male,23.9,181.7,79.6,0.132,4,27.6,39.2,0.26,sw,0,dry,summer,9.965
R001,A0096,male,26.4,181.9,82.7,0.153,7,24.5,51.7,-0.1,sw,200,dry,spring,10.29
R001,A0223,male,22.4,177.2,76.7,0.148,7,23.4,74.9,-2.09,sw,100,synthetic,summer,9.977
R001,A0167,male,23.7,177.1,75.1,0.162,3,27.0,60.9,-0.32,north,100,dry,summer,10.018
R001,A0048,male,22.8,185.9,72.8,0.171,5,25.4,76.9,-1.77,nw,1200,synthetic,summer,10.087
R001,A0188,male,24.2,182.1,80.7,0.175,3,23.3,65.4,0.59,north,400,dry,summer,9.977
R001,A0237,male,22.4,177.7,79.2,0.194,3,27.6,66.7,0.75,se,200,dry,summer,9.957
R001,A0256,male,20.8,181.2,76.0,0.173,4,23.5,78.8,0.17,nw,1600,dry,spring,9.897
R001,A0013,female,18.0,167.1,56.3,0.156,2,25.3,55.7,0.12,north,0,dry,summer,10.741
R001,A0219,female,20.2,162.1,52.9,0.185,7,17.2,48.1,-0.6,east,200,dry,spring,10.999
R001,A0002,female,19.4,170.3,58.8,0.158,8,24.7,86.4,0.11,south,50,synthetic,autumn,11.167
R001,A0116,female,22.8,164.2,56.5,0.194,1,31.6,41.8,-0.16,sw,0,dry,summer,11.364
R001,A0044,female,18.0,166.6,54.7,0.188,2,15.3,37.7,-0.27,north,400,synthetic,spring,11.739
